date,predicted_return,actual_return,predicted_direction,actual_direction,p10,p25,p50,p75,p90,direction_correct,within_p10_p90,abs_error
2021-02-01,18.243684067290943,36.308750593940786,1,1,-18.78168188127806,-1.1367809214131483,18.243684067290943,37.624149055995034,55.269050015859946,True,True,18.065066526649844
2021-03-01,19.029121742362673,30.531110958991945,1,1,-17.464882298966817,-0.07320849802073326,19.029121742362673,38.13145198274608,55.523125783692166,True,True,11.501989216629273
2021-04-01,19.508371293055557,-1.9835020649767057,1,-1,-16.309764298925653,0.7598159441278902,19.508371293055557,38.25692664198323,55.326506885036764,False,True,21.49187335803226
2021-05-01,18.648696358734266,-35.35455959448175,1,-1,-16.84431945367111,0.07032089442832756,18.648696358734266,37.227071823040205,54.141712171139645,False,False,54.00325595321601
2021-06-01,16.571648052841343,-6.13941661432399,1,-1,-20.753129585121183,-2.965540242029668,16.571648052841343,36.108836347712355,53.896425690803866,False,True,22.71106466716533
2021-07-01,9.923535889465684,18.79338548528313,1,1,-21.54514234564097,-6.548350374222954,9.923535889465684,26.39542215315432,41.392214124572334,True,True,8.869849595817447
2021-08-01,11.238065495266609,13.31010952575873,1,1,-21.66550995151571,-5.984899777658514,11.238065495266609,28.461030768191733,44.14164094204893,True,True,2.072044030492121
2021-09-01,10.032780200313846,-7.157155076344934,1,-1,-20.916769097340165,-6.167374510176925,10.032780200313846,26.232934910804616,40.98232949796786,False,True,17.18993527665878
2021-10-01,15.692803492501112,40.02672858735883,1,1,-21.37097712528832,-3.707769174623044,15.692803492501112,35.093376159625265,52.75658411029055,True,True,24.33392509485772
2021-11-01,11.487375226286067,-7.034580264960633,1,-1,-20.999959396223318,-5.5177139901836885,11.487375226286067,28.492464442755825,43.974709848795456,False,True,18.5219554912467
2021-12-01,14.881111215448906,-18.768354629620298,1,-1,-21.902985750800248,-4.373064540322135,14.881111215448906,34.13528697121995,51.665208181698056,False,True,33.6494658450692
2022-01-01,13.720784806998243,-16.894668246945244,1,-1,-23.27537924141082,-5.6443948120908765,13.720784806998243,33.08596442608736,50.71694885540731,False,True,30.615453053943487
2022-02-01,8.699604172661315,12.239415003329391,1,1,-22.07446261880422,-7.408696413496427,8.699604172661315,24.807904758819056,39.47367096412685,True,True,3.539810830668076
2022-03-01,10.072418021779754,5.430112933630005,1,1,-22.11846017063027,-6.777494782059872,10.072418021779754,26.92233082561938,42.26329621418978,True,True,4.642305088149749
2022-04-01,9.988012474722485,-17.180562778839857,1,-1,-21.913472752645564,-6.710421198977979,9.988012474722485,26.68644614842295,41.88949770209054,False,True,27.16857525356234
2022-05-01,9.502859345194583,-15.703524015723236,1,-1,-22.447049183690506,-7.220920900393708,9.502859345194583,26.226639590782874,41.45276787407967,False,True,25.20638336091782
2022-06-01,8.346560749731175,-37.76883082049309,1,-1,-22.31441696324957,-7.702544771907185,8.346560749731175,24.395666271369535,39.00753846271192,False,False,46.11539157022427
2022-07-01,7.03296808349109,17.954101668545608,1,1,-24.19339068559382,-9.312079084701795,7.03296808349109,23.378015251683976,38.259326852576,True,True,10.921133585054518
2022-08-01,7.875538311408315,-14.085561097213027,1,-1,-22.69621441924786,-8.126863508544526,7.875538311408315,23.877940131361157,38.447291042064485,False,True,21.961099408621344
2022-09-01,7.604413627351261,-3.0822039575552185,1,-1,-22.935797884117314,-8.38147833568307,7.604413627351261,23.590305590385594,38.14462513881983,False,True,10.686617584906479
2022-10-01,0.9310161484252525,5.475483351418764,1,1,-16.190419091603765,-8.030985110027437,0.9310161484252525,9.893017406877942,18.052451388454273,True,True,4.544467202993512
2022-11-01,1.688427348924171,-16.233625149087516,1,-1,-13.808483900882347,-6.4232371333964275,1.688427348924171,9.80009183124477,17.185338598730688,False,False,17.922052498011688
2022-12-01,-0.8718658650774985,-3.617484988577191,-1,-1,-17.46426457164133,-9.556949563044505,-0.8718658650774985,7.813217832889507,15.720532841486332,True,True,2.7456191234996923
2023-01-01,-1.21506825551496,39.835556219679205,-1,1,-16.626813564134157,-9.28215369049532,-1.21506825551496,6.852017179465402,14.196677053104239,False,False,41.05062447519416
2023-02-01,3.3461122417288363,0.0348771067329778,1,0,-19.338784465173987,-8.528013378290611,3.3461122417288363,15.220237861748283,26.03100894863166,False,True,3.3112351349958584
2023-03-01,6.830154354860667,23.031275933019145,1,1,-23.988270810444444,-9.30136506760373,6.830154354860667,22.961673777325064,37.64857952016578,True,True,16.201121578158478
2023-04-01,8.087400169513662,2.7751556410733347,1,1,-21.46069274224181,-7.379179713983342,8.087400169513662,23.55398005301067,37.63549308126913,True,True,5.312244528440328
2023-05-01,8.525355686438141,-7.0011342199917,1,-1,-21.8067440055067,-7.351602746064238,8.525355686438141,24.40231411894052,38.85745537838298,False,True,15.526489906429841
2023-06-01,8.081741689111574,11.967798146804087,1,1,-21.989196122688227,-7.658514821752384,8.081741689111574,23.821998199975532,38.152679500911375,True,True,3.886056457692513
2023-07-01,8.16659196496857,-4.092037651288716,1,-1,-21.080696751171082,-7.14253572238578,8.16659196496857,23.47571965232292,37.41388068110822,False,True,12.258629616257284
2023-08-01,7.743581151878233,-11.285070504336648,1,-1,-22.00822638137614,-7.829630603809603,7.743581151878233,23.316792907566068,37.49538868513261,False,True,19.028651656214883
2023-09-01,7.2292932692778304,3.9968549920561314,1,1,-22.378403580207973,-8.268485550374898,7.2292932692778304,22.72707208893056,36.83699011876364,True,True,3.232438277221699
2023-10-01,8.08319722551032,28.55194754356902,1,1,-20.873950466355808,-7.074059769450859,8.08319722551032,23.2404542204715,37.04034491737645,True,True,20.468750318058703
2023-11-01,8.484545270962451,8.783270039094294,1,1,-20.41538003449474,-6.642759381112798,8.484545270962451,23.611849923037703,37.384470576419645,True,True,0.29872476813184257
2023-12-01,8.490289978041911,12.071360157473276,1,1,-20.124949183702345,-6.4879992706835985,8.490289978041911,23.46857922676742,37.10552913978617,True,True,3.5810701794313644
2024-01-01,7.35671608212508,0.7510151676246579,1,1,-21.865437709665095,-7.939255043265091,7.35671608212508,22.65268720751525,36.57886987391525,True,True,6.605700914500422
2024-02-01,7.187339135599427,43.716858418659974,1,1,-21.679518109207095,-7.922656453478987,7.187339135599427,22.297334724677842,36.05419638040595,True,False,36.529519283060544
2024-03-01,9.582083498522792,16.561329171152273,1,1,-22.283643538825853,-7.09763299758939,9.582083498522792,26.261799994634973,41.44781053587144,True,True,6.979245672629482
2024-04-01,13.81546961913671,-14.995437921729394,1,-1,-22.543294162230364,-5.216070797672618,13.81546961913671,32.84701003594604,50.17423340050378,False,True,28.810907540866104
2024-05-01,12.886085504915224,11.304277803921714,1,1,-23.46999835541918,-6.144052140728563,12.886085504915224,31.916223150559013,49.24216936524962,True,True,1.5818077009935099
2024-06-01,12.836654014259178,-7.131456883230869,1,-1,-22.930025545062403,-5.884967317573214,12.836654014259178,31.55827534609157,48.603333573580755,False,True,19.968110897490046
2024-07-01,12.231559744638266,3.0966973402063003,1,1,-23.251883592960844,-6.341805127386268,12.231559744638266,30.804924616662802,47.71500308223738,True,True,9.134862404431967
2024-08-01,8.971536498799448,-8.742521094720225,1,-1,-22.006302923998835,-7.243426324071528,8.971536498799448,25.186499321670425,39.949375921597735,False,True,17.714057593519673
2024-09-01,11.614675014068899,7.392927032290175,1,1,-23.629041545801464,-6.833207872738244,11.614675014068899,30.062557900876044,46.858391573939265,True,True,4.221747981778724
2024-10-01,6.472027984350397,10.872796248193971,1,1,-21.631337691045296,-8.238327486364536,6.472027984350397,21.18238345506533,34.57539365974609,True,True,4.400768263843574
2024-11-01,6.57437143234676,37.36209803256596,1,1,-21.20569946336571,-7.9667594271277355,6.57437143234676,21.115502291821258,34.35444232805923,True,False,30.7877266002192
2024-12-01,12.350315671740242,-3.1310328258628117,1,-1,-22.81528285035622,-6.056677304669625,12.350315671740242,30.757308648150108,47.5159141938367,False,True,15.481348497603054
2025-01-01,11.920278213473491,9.607082167329573,1,1,-22.896313876659914,-6.304031708705715,11.920278213473491,30.144588135652697,46.73687030360689,True,True,2.3131960461439185
