Date,BTC_AG,BTC_AL
2023-03-01,2322.787325555146,2265.212372375232
2023-04-01,2213.3255355601354,2103.411488634144
2023-05-01,2055.2308544486973,2099.5355564102765
2023-06-01,2141.1139184166473,1949.5687309523996
2023-07-01,1988.1772099583154,1899.3952948129424
2023-08-01,1846.16455210415,1999.3412503173752
2023-09-01,1788.327324052068,1856.5311610089914
2023-10-01,2210.5800319322775,1723.9217923654921
2023-11-01,2270.1789470621147,1600.7845214822428
2023-12-01,2433.1976941469634,1486.442769947797
2024-01-01,2282.070570904323,1380.2682863800972
2024-02-01,3448.7639118218717,1281.6776944958044
2024-03-01,3926.371177048881,1190.129287746104
2024-04-01,3645.9160929739605,1869.1766935320968
2024-05-01,3875.1048430293918,1735.6640725655184
2024-06-01,3598.311639955864,1955.4824312215528
2024-07-01,3479.929167905445,1815.8051147057274
2024-08-01,3231.362798769342,2089.629860976747
2024-09-01,3311.9512818929607,1940.3705851926934
2024-10-01,3567.2181546148922,1801.7726862503582
2024-11-01,5186.264514106685,1673.0746372324754
2024-12-01,4815.81704881335,1769.2729890372987
2025-01-01,5112.960139076683,1642.8963469632058
2025-02-01,4747.7487005712055,2813.5477239658335
2025-03-01,4408.623793387548,2742.8724401111313
2025-04-01,4926.46483939558,2546.952980103193
2025-05-01,5319.6302972958965,2365.027767238679
2025-06-01,5118.03114659619,2196.0972124359164
2025-07-01,5368.37657808932,2039.2331258333509
2025-08-01,4984.921108225797,2430.8230588095403
2025-09-01,5044.52495763824,2257.1928403231445
2025-10-01,4684.201746378366,2417.387771371491
